,title,description,date,type,comp_short,data_exchange,data-price
64,Bloomberg спрогнозировал рынку Индии один из лучших результатов 2022 года,За этот год индекс S&P BSE Sensex вырос почти на 4%. Глобальный индекс MSCI All Country World за это же время упал на 20%,"26 дек 2022, 12:33",Новости,"['TM', '9888', '9988', 'JD', 'SONY']","['-0.87976539589443', '', '', '-7.5191163976211', '-0.54359188793644']","['175.76', '', '', '43.54', '95.14']"
65,"Торги на зарубежных биржах, рубль на Мосбирже: дайджест","26 декабря не будет торгов на биржах США, Великобритании и Гонконга. Курс доллара на Мосбирже растет, однако евро и юань дешевеют по отношению к рублю. События, которые влияют на рынок","26 дек 2022, 09:05",События дня,"['USD/RUB', 'EUR/RUB', 'CNY/RUB', 'SBER', 'SBERP']","['-1.296', '-2.84', '-1.472', '2.182', '1.724']","['69.29', '73.55', '9.774', '140.95', '138.08']"
66,Заработать на рынке в кризис: топ облигаций с доходностью выше вкладов,"Директор центра инвестиционных продуктов СК «СберСтрахование жизни» Владислав Воякин проанализировал рынок облигаций и рассказал, какие из них позволят получать пассивную прибыль по ставке выше, чем на депозитах","25 дек 2022, 10:00",Мнение профи,"['AFKS', 'SGZH', 'GAZP']","['-1.7105691056911', '2.2297297297297', '-1.4944332361952']","['15.112', '1.513', '131.83']"
67,НРД получил лицензии на разблокировку активов: что делать инвестору,"Регуляторы Бельгии и Люксембурга выдали НРД разрешения на разблокировку активов. «РБК Инвестиции» выяснили, что делать дальше и нужно ли частным игрокам самостоятельно обращаться за разморозкой","25 дек 2022, 09:00",Что это значит,"['IMOEX', 'RTSI']","['-1.3961561772649', '-2.2473385340876']","['2749.44', '893.43']"
68,Лучшие фонды на 2023 год: перспективные ПИФ и ETF,"Безопасность и широкая диверсификация через ПИФ и ETF были испытаны на прочность в 2022 году. Как относиться российским инвесторам к фондам в новых реалиях, какие из них будут ожидаемо доходными, обсудили с экспертами","24 дек 2022, 11:00",Подборки,['IMOEX'],['-1.3961561772649'],['2749.44']
69,Доллар по ₽60 или ₽80: эксперты ожидают нестабильный курс в 2023 году,"К концу декабря курс доллара начал расти: «РБК Инвестиции» собрали свежие прогнозы аналитиков о том, каким будет курс доллара в 2023 году и как инвестор может защитить свои средства","24 дек 2022, 09:00",Что это значит,"['USD', 'EUR', 'CNY']","['0.04476140609109', '0.36293918062349', '0.20142101418801']","['96.1079', '105.6891', '13.581']"
70,"Цена Brent выросла на 3,66% на ожиданиях сокращения поставок из России","Нефтяные котировки растут в ожидании, что Россия сократит добычу нефти из-за потолка, введенного ЕС","23 дек 2022, 18:06",Новости,"['BRENT', 'ROSN', 'LKOH']","['1.807', '-0.406', '-0.422']","['84.51', '343.3', '4010.5']"
71,Стратегия на 2023 год: торговые идеи и прогнозы от Freedom Finance Global,В инвесткомпании разделили российский рынок акций на шесть сегментов и описали наилучший вариант поведения в каждом из них,"23 дек 2022, 17:56",Новости,"['MTSS', 'YDEX', 'MGNT', 'LKOH', 'PHOR']","['-0.43721156181686', '-1.397', '-0.725', '-0.422', '-1.664']","['204.95', '1821.2', '4315.5', '4010.5', '6204']"
72,Топ-5 событий на СПБ Бирже: разблокировка активов и работа в праздники,"Каждую неделю «РБК Инвестиции» отбирают пять заметных историй на мировых торговых площадках, за которыми следили инвесторы. Рассказываем о самых важных событиях последних дней","23 дек 2022, 17:31",События недели,"['SPBE', 'TSLA', 'NKE']","['-1.393', '-4.624', '0.458']","['113.3', '122.93', '116.14']"
73,Тесты на знание сложных финансовых продуктов смогли пройти 30% испытуемых,"Наиболее сложными для инвесторов оказались вопросы об особенностях и рисках российских акций, не входящих в котировальные списки, иностранных акций и сделок с плечом. Всего успешно было сдано 4,68 млн тестов","23 дек 2022, 15:58",Новости,['IMOEX'],['0.052'],['2124.02']
74,Курс доллара продолжил снижение и упал ниже ₽68,"Эксперты отмечают, что причиной разворота рубля стала перекупленность валют","23 дек 2022, 12:44",Новости,"['USD/RUB', 'EUR/USD', 'EUR/RUB']","['1.813', '0.798', '2.923']","['70.2', '1.074', '75.7']"
75,Депозитарий СПБ Биржи направил заявку на лицензию в Минфин Бельгии,"Накануне стало известно, что Минфин Бельгии выдал лицензию НРД, однако по условиям она отличается от лицензии Люксембурга и предполагает не вывод активов в неподсанкционный депозитарий, а их продажу","23 дек 2022, 10:10",Новости,['USD/RUB'],['1.813'],['70.2']
